repo_name;name;longname;path;full_repo_path;line;column;endline;endcolumn;CC;CCL;CCO;CI;CLC;CLLC;McCC;NL;NLE;CD;CLOC;DLOC;TCD;TCLOC;LLOC;LOC;NOS;NUMPAR;TLLOC;TLOC;TNOS;HOR_D;HOR_T;HON_D;HON_T;HLEN;HVOC;HDIFF;HVOL;HEFF;HBUGS;HTIME;CYCL;PARAMS;CYCL_DENS;Vuln;Valid_vuln;Fix_hash
useragent;Agent;index.Agent;index.js;https://github.com/3rd-Eden/useragent/blob/deb4ccc193dab355986f7ab3fbc1fe7a3c487765/index.js;34;0;40;1;0;0;0;0;0;0;6;0;0;0.611111;11;11;0.611111;11;7;7;6;5;7;7;6;3;15;9;25;40;12;4.166666666666666;143.39850002884626;597.4937501201927;0.04779950000961542;33.194097228899594;6;5;120;0;;
useragent;lazyparse;index.lazyparse[0];index.js;https://github.com/3rd-Eden/useragent/blob/deb4ccc193dab355986f7ab3fbc1fe7a3c487765/index.js;49;7;76;3;1;1;9;1;1;0;9;3;3;0;0;0;0;0;25;28;9;0;25;28;9;16;48;25;58;106;41;18.56;567.9005124895169;10540.233511805434;0.18930017082983897;585.5685284336353;9;0;64.28571428571429;0;;
useragent;set;index.set[0];index.js;https://github.com/3rd-Eden/useragent/blob/deb4ccc193dab355986f7ab3fbc1fe7a3c487765/index.js;84;7;90;3;0;0;0;0;0;0;2;1;1;0;0;0;0;0;6;7;3;1;6;7;3;8;10;9;12;22;17;5.333333333333333;89.92418250750748;479.5956400400399;0.029974727502502494;26.64420222444666;2;1;50;0;;
useragent;lazyparse;index.lazyparse[1];index.js;https://github.com/3rd-Eden/useragent/blob/deb4ccc193dab355986f7ab3fbc1fe7a3c487765/index.js;100;7;127;3;1;1;9;1;1;0;9;3;3;0;0;0;0;0;25;28;9;0;25;28;9;16;48;25;58;106;41;18.56;567.9005124895169;10540.233511805434;0.18930017082983897;585.5685284336353;9;0;64.28571428571429;0;;
useragent;set;index.set[1];index.js;https://github.com/3rd-Eden/useragent/blob/deb4ccc193dab355986f7ab3fbc1fe7a3c487765/index.js;135;7;141;3;0;0;0;0;0;0;2;1;1;0;0;0;0;0;6;7;3;1;6;7;3;8;10;9;12;22;17;5.333333333333333;89.92418250750748;479.5956400400399;0.029974727502502494;26.64420222444666;2;1;50;0;;
useragent;toAgent;index.toAgent;index.js;https://github.com/3rd-Eden/useragent/blob/deb4ccc193dab355986f7ab3fbc1fe7a3c487765/index.js;148;26;154;1;0;0;0;0;0;0;2;1;1;0;0;0;0;0;6;7;4;0;6;7;4;8;10;6;11;21;14;7.333333333333333;79.95445336320968;586.3326579968709;0.026651484454403226;32.57403655538172;2;0;40;0;;
useragent;toString;index.toString[0];index.js;https://github.com/3rd-Eden/useragent/blob/deb4ccc193dab355986f7ab3fbc1fe7a3c487765/index.js;162;27;167;1;0;0;0;0;0;0;3;1;1;0;0;0;0;0;5;6;2;0;5;6;2;8;13;8;15;28;16;7.5;112;840;0.037333333333333336;46.666666666666664;3;0;100;0;;
useragent;toVersion;index.toVersion[0];index.js;https://github.com/3rd-Eden/useragent/blob/deb4ccc193dab355986f7ab3fbc1fe7a3c487765/index.js;175;28;193;1;1;1;5;1;1;0;5;4;4;0.133333;2;0;0.133333;2;13;19;8;0;13;19;8;10;21;9;24;45;19;13.333333333333332;191.15673810496133;2548.756508066151;0.06371891270165378;141.59758378145284;5;0;62.5;0;;
useragent;toJSON;index.toJSON[0];index.js;https://github.com/3rd-Eden/useragent/blob/deb4ccc193dab355986f7ab3fbc1fe7a3c487765/index.js;201;25;210;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;10;10;1;0;10;10;1;4;14;8;19;33;12;4.75;118.30376252379817;561.9428719880414;0.039434587507932724;31.219048443780075;1;0;14.285714285714285;0;;
useragent;OperatingSystem;index.OperatingSystem;index.js;https://github.com/3rd-Eden/useragent/blob/deb4ccc193dab355986f7ab3fbc1fe7a3c487765/index.js;222;0;227;1;0;0;0;0;0;0;5;0;0;0.625;10;10;0.625;10;6;6;5;4;6;6;5;3;12;7;20;32;10;4.285714285714286;106.3016990363956;455.5787101559811;0.035433899678798536;25.30992834199895;5;4;125;0;;
useragent;toString;index.toString[1];index.js;https://github.com/3rd-Eden/useragent/blob/deb4ccc193dab355986f7ab3fbc1fe7a3c487765/index.js;235;37;241;1;0;0;0;0;0;0;2;1;1;0;0;0;0;0;6;7;4;0;6;7;4;8;10;6;11;21;14;7.333333333333333;79.95445336320968;586.3326579968709;0.026651484454403226;32.57403655538172;2;0;40;0;;
useragent;toVersion;index.toVersion[1];index.js;https://github.com/3rd-Eden/useragent/blob/deb4ccc193dab355986f7ab3fbc1fe7a3c487765/index.js;249;38;267;1;1;1;5;1;1;0;5;4;4;0.133333;2;0;0.133333;2;13;19;8;0;13;19;8;10;21;9;24;45;19;13.333333333333332;191.15673810496133;2548.756508066151;0.06371891270165378;141.59758378145284;5;0;62.5;0;;
useragent;toJSON;index.toJSON[1];index.js;https://github.com/3rd-Eden/useragent/blob/deb4ccc193dab355986f7ab3fbc1fe7a3c487765/index.js;276;35;283;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;8;8;1;0;8;8;1;5;13;7;16;29;12;5.7142857142857135;103.96391252091354;594.0795001195058;0.03465463750697118;33.00441667330588;4;0;80;0;;
useragent;Device;index.Device;index.js;https://github.com/3rd-Eden/useragent/blob/deb4ccc193dab355986f7ab3fbc1fe7a3c487765/index.js;295;0;300;1;0;0;0;0;0;0;5;0;0;0.625;10;10;0.625;10;6;6;5;4;6;6;5;3;12;7;20;32;10;4.285714285714286;106.3016990363956;455.5787101559811;0.035433899678798536;25.30992834199895;5;4;125;0;;
useragent;toString;index.toString[2];index.js;https://github.com/3rd-Eden/useragent/blob/deb4ccc193dab355986f7ab3fbc1fe7a3c487765/index.js;308;28;314;1;0;0;0;0;0;0;2;1;1;0;0;0;0;0;6;7;4;0;6;7;4;8;10;6;11;21;14;7.333333333333333;79.95445336320968;586.3326579968709;0.026651484454403226;32.57403655538172;2;0;40;0;;
useragent;toVersion;index.toVersion[2];index.js;https://github.com/3rd-Eden/useragent/blob/deb4ccc193dab355986f7ab3fbc1fe7a3c487765/index.js;322;29;340;1;1;1;5;1;1;0;5;4;4;0.133333;2;0;0.133333;2;13;19;8;0;13;19;8;10;21;9;24;45;19;13.333333333333332;191.15673810496133;2548.756508066151;0.06371891270165378;141.59758378145284;5;0;62.5;0;;
useragent;toJSON;index.toJSON[2];index.js;https://github.com/3rd-Eden/useragent/blob/deb4ccc193dab355986f7ab3fbc1fe7a3c487765/index.js;349;26;356;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;8;8;1;0;8;8;1;5;13;7;16;29;12;5.7142857142857135;103.96391252091354;594.0795001195058;0.03465463750697118;33.00441667330588;4;0;80;0;;
useragent;updater;index.updater;index.js;https://github.com/3rd-Eden/useragent/blob/deb4ccc193dab355986f7ab3fbc1fe7a3c487765/index.js;366;17;395;1;0;0;0;0;0;0;2;1;1;0;0;0;0.115385;3;11;11;6;0;23;30;17;3;4;4;4;8;7;1.5;22.458839376460833;33.68825906469125;0.007486279792153611;1.871569948038403;1;0;50;0;;
useragent;parse;index.parse;index.js;https://github.com/3rd-Eden/useragent/blob/deb4ccc193dab355986f7ab3fbc1fe7a3c487765/index.js;417;16;467;1;0;0;0;0;0;0;17;3;3;0.139535;6;0;0.139535;6;37;51;21;2;37;51;21;16;88;29;106;194;45;29.24137931034483;1065.419500687957;31154.335744254746;0.35513983356265233;1730.7964302363748;15;2;62.5;1;1;64b15c9446a24abd9f52ed4ceb970f1a5cf790dd
useragent;lookup;index.lookup;index.js;https://github.com/3rd-Eden/useragent/blob/deb4ccc193dab355986f7ab3fbc1fe7a3c487765/index.js;482;17;490;1;0;0;0;0;0;0;4;1;1;0;0;0;0;0;7;9;5;2;7;9;5;8;16;10;22;38;18;8.8;158.45715005480787;1394.4229204823093;0.05281905001826929;77.46794002679496;4;2;66.66666666666666;0;;
useragent;is;index.is;index.js;https://github.com/3rd-Eden/useragent/blob/deb4ccc193dab355986f7ab3fbc1fe7a3c487765/index.js;501;13;544;1;0;0;0;0;0;0;15;5;3;0;0;0;0;0;37;44;20;1;37;44;20;14;96;38;99;195;52;18.236842105263158;1111.585745037513;20271.813718710437;0.370528581679171;1126.211873261691;13;1;37.142857142857146;0;;
